hour,B(t)_final
0,28.92105299948657
1,29.254783079621518
2,29.458337744777605
3,30.0387138382944
4,30.286164822577213
5,30.29967789355053
6,37.27688761685414
7,38.55820257520752
8,40.33578401632146
9,42.6437829155321
10,42.69922014331153
11,42.70987706361082
12,41.99990602469698
13,42.02781448956479
14,42.40732724781823
15,42.64497041501298
16,42.027637673366414
17,39.84914545429742
18,38.18815524463658
19,38.62997823225683
20,39.378513307204905
21,30.938983212410136
22,28.025111854235718
23,28.465777653430145
