hour,B(t)_final
0,41.61573555927269
1,41.927662617975336
2,41.65135152493345
3,41.61573283896152
4,41.6489433288221
5,41.436278612027735
6,40.85966378072122
7,41.7011419957946
8,42.63742360485495
9,44.09921321580295
10,44.882625321675576
11,45.76950123253512
12,45.90534002938326
13,45.89791055485647
14,46.47032680718435
15,45.93690588064188
16,45.36787304459691
17,44.210501721100464
18,43.57589172135876
19,42.80166204344116
20,42.88964442666983
21,42.40783774890281
22,41.767175423304124
23,41.49982200783338
