hour,B(t)
0,11.810537228260868
1,11.666054891304347
2,11.560058695652174
3,11.494828532608697
4,11.45031168478261
5,11.44525543478261
6,11.552884239130435
7,9.757588315217392
8,7.63516875
9,8.318941304347826
10,8.419233695652172
11,8.370800815217391
12,8.753700543478262
13,8.77766902173913
14,8.657972010869566
15,8.753534510869565
16,8.731191304347826
17,9.946755163043479
18,10.358520380434783
19,11.571470923913044
20,12.745610326086958
21,12.607487228260869
22,12.336132880434782
23,12.054824184782609
