hour,B(t)_final
0,25.907472939348082
1,23.515420934296458
2,21.670172573659045
3,20.29811872913042
4,18.941400506186902
5,18.674477597588925
6,19.88013158094585
7,23.7387514065641
8,28.901402222491754
9,35.47590371643136
10,41.372445775538594
11,45.34690717078092
12,47.739887003171255
13,47.944703018434566
14,47.501697270084534
15,48.10057652819808
16,47.7344761618878
17,46.638324434841245
18,44.59851289934805
19,42.09593426743141
20,39.96231095221682
21,36.439890378368894
22,33.04147982608972
23,30.105768019176843
