hour,B(t)_final
0,97.93041408969316
1,96.47632258350235
2,96.5793997846106
3,97.12674237559482
4,97.54355010122819
5,111.1061684489782
6,119.48872054806472
7,121.02409556493765
8,124.23791809518134
9,124.57329814240094
10,124.0689089691878
11,125.71022102827854
12,124.32967811099002
13,121.82178336757997
14,120.3182105689167
15,118.18347731591868
16,115.65599214833738
17,114.83435136632679
18,116.87202050402497
19,119.61198634551201
20,121.07890103139576
21,120.9645381986405
22,121.07452360636486
23,105.75292726290289
