hour,B(t)_final
0,33.29871330060577
1,33.920521214583836
2,33.9628159511288
3,35.58096688239595
4,36.76844391732406
5,36.88882682336834
6,37.61976160716557
7,39.3990727617127
8,42.52204651285833
9,39.0844953105205
10,38.98457562762774
11,38.57792930653163
12,38.36757707038779
13,37.23205142331467
14,36.281372927180264
15,35.246448386754636
16,33.968547728961646
17,29.850553294208215
18,27.24538853014052
19,28.39239274611912
20,29.48771639646863
21,29.855547673901434
22,29.53910167020944
23,31.625330425253367
