hour,B(t)_final
0,73.87021941883155
1,70.23099749835443
2,66.42243409626273
3,63.78716080258636
4,61.629726745685915
5,59.70079697439801
6,56.643191725726226
7,53.52084085631534
8,53.369467182179065
9,56.24188384412385
10,58.58334070910322
11,61.05754969466204
12,63.127971953115185
13,65.31550767729196
14,67.30031244379197
15,69.17699899361834
16,72.17474480919422
17,75.3382729438753
18,77.9101736827584
19,77.57269725834966
20,77.23691706773701
21,77.01657828171672
22,75.8263608575156
23,74.76096363324326
