hour,B(t)_final
0,12.126325803364608
1,12.288910400836276
2,12.300256548499494
3,12.374303888053996
4,12.410248328027116
5,12.495844207555145
6,13.466838923076418
7,16.58138013729257
8,17.562988637369692
9,18.15916775180413
10,18.379480947119227
11,18.350071994612232
12,18.460850874446386
13,18.321383886854683
14,18.375619189416913
15,18.118391957736858
16,17.830310910314704
17,16.58132518940241
18,15.657681850015596
19,13.308533412739123
20,12.45259557031443
21,12.19786185628914
22,11.970484123768337
23,12.01127693598813
