hour,B(t)_final
0,42.18351410726022
1,40.993073104223406
2,39.87204766035251
3,38.90635227222829
4,38.06632178544333
5,37.415030166739285
6,36.63315917930444
7,36.478247265061675
8,37.04127523403422
9,38.59083962264447
10,40.02033839107748
11,41.40652864123794
12,42.58694981856142
13,43.34864875810426
14,44.14604184469326
15,44.56576798353311
16,44.95089158529782
17,44.93745770969328
18,45.31087745850429
19,45.1531527287157
20,44.720581270293636
21,44.28255576480343
22,43.68721828464275
23,43.118759936437684
