hour,B(t)
0,5.095399393657142
1,5.065246574485714
2,5.155692471814286
3,5.150668397528571
4,5.110471616514286
5,5.1255480261
6,9.547583303428572
7,11.964636135185716
8,13.286214689314283
9,14.547500165285717
10,14.874131981514287
11,14.949509842714289
12,14.748500817271431
13,14.306302732285715
14,14.96457787884286
15,14.748505004000004
16,14.406792591457142
17,13.391745369685717
18,12.411854107728571
19,12.763610482114288
20,13.120390930785714
21,7.356664055271429
22,5.3315769391000005
23,5.336601013385715
