hour,B(t)_final
0,116.85982854092208
1,116.38084367446011
2,116.37364882960985
3,116.50774501502674
4,117.1864090539787
5,118.3435657176465
6,122.5245585210926
7,127.73367729368911
8,130.83343857488572
9,137.48154691664587
10,143.35478022695844
11,144.1350678952724
12,144.9283201505278
13,144.84387199354913
14,142.86882803526532
15,140.73190442897277
16,136.781229176997
17,132.35862930432134
18,129.11853309808765
19,127.15501892982157
20,125.83266682378692
21,123.168873348342
22,119.19553571014016
23,117.19939262920312
